"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","playerid"
"Johnny Cueto","Reds","33.0","1.91","130","22","8","7","4","10","1","0","25",".183",".248",".331",".254","6893"
"Andrew Cashner","Padres","78.1","1.95","302","63","21","17","5","13","0","1","52",".219",".258",".314",".255","8782"
"Matt Reynolds","Diamondbacks","13.2","1.98","58","14","4","3","0","2","0","0","11",".250",".276",".327",".264","8887"
"Justin De Fratus","Phillies","22.2","1.99","97","21","6","5","1","10","2","2","19",".247",".340",".369",".310","4955"
"Adam Ottavino","Rockies","45.0","2.00","183","39","11","10","3","14","2","1","40",".232",".300",".335",".281","1247"
"Antonio Bastardo","Phillies","22.1","2.01","95","16","6","5","2","13","1","1","23",".198",".326",".346",".302","8844"
"Tyson Ross","Padres","53.1","2.03","203","34","14","12","5","17","1","2","46",".185",".262",".313",".258","7872"
"Brad Ziegler","Diamondbacks","40.0","2.03","158","32","9","9","3","10","2","3","20",".221",".287",".322",".269","7293"
"Wandy Rodriguez","Pirates","39.2","2.04","152","26","9","9","4","6","0","3","33",".182",".232",".319",".244","2586"
"Josh Collmenter","Diamondbacks","56.2","2.06","217","38","15","13","5","15","2","0","49",".188",".250",".305",".245","7312"
"Jake Diekman","Phillies","21.2","2.08","88","16","5","5","1","7","2","0","25",".198",".264",".275",".235","5003"
"A.J. Ramos","Marlins","38.1","2.11","158","24","9","9","1","19","1","1","41",".174",".278",".255",".246","8350"
"Zack Greinke","Dodgers","93.2","2.11","359","69","24","22","8","16","0","4","84",".204",".251",".332",".258","1943"
"Michael Bowden","Cubs","21.0","2.14","84","13","5","5","0","8","1","3","13",".178",".296",".232",".246","4440"
"Michael Wacha","Cardinals","46.0","2.15","178","28","11","11","2","14","0","0","47",".171",".237",".267",".228","14078"
"Jake Dunning","Giants","16.2","2.16","63","10","4","4","2","7","0","1","9",".182",".286",".315",".274","10803"
"Robbie Erlin","Padres","33.0","2.18","129","25","9","8","2","5","0","0","30",".202",".234",".320",".243","10354"
"Trevor Rosenthal","Cardinals","41.0","2.20","165","30","11","10","2","10","0","4","57",".199",".270",".289",".255","10745"
"Rex Brothers","Rockies","36.1","2.23","153","31","12","9","3","18","1","0","39",".230",".320",".333",".295","9794"
"Jose Contreras","Pirates","4.0","2.25","16","3","1","1","0","1","0","0","5",".200",".250",".267",".234","1660"
"Joe Savery","Phillies","8.0","2.25","35","5","6","2","1","6","0","0","5",".172",".314",".393",".312","2835"
"Thad Weber","Padres","8.0","2.25","31","5","2","2","1","4","0","0","6",".185",".290",".346",".284","8036"
"Nick Christiani","Reds","4.0","2.25","16","2","1","1","1","2","0","1","1",".154",".313",".417",".318","10332"
"Kris Medlen","Braves","103.1","2.26","421","101","31","26","4","21","0","5","82",".256",".306",".366",".298","9417"
"Luis Ayala","Braves","15.2","2.30","67","17","4","4","0","7","1","0","7",".283",".364",".305",".302","1650"
"Hyun-Jin Ryu","Dodgers","97.0","2.32","390","93","27","25","8","21","2","1","79",".253",".298",".363",".291","14444"
"Madison Bumgarner","Giants","89.0","2.33","347","61","24","23","8","28","2","1","93",".192",".264",".324",".260","5524"
"LaTroy Hawkins","Mets","38.2","2.33","157","37","13","10","2","6","2","1","30",".247",".280",".309",".257","729"
"Anthony Varvaro","Braves","42.1","2.34","169","37","12","11","1","11","2","0","20",".234",".287",".301",".260","2385"
"Tony Watson","Pirates","38.1","2.35","151","31","10","10","1","3","0","5","27",".217",".264",".252",".235","3132"
"Paul Maholm","Braves","64.2","2.37","268","66","21","17","6","12","1","1","43",".259",".295",".372",".292","8678"
"A.J. Burnett","Pirates","95.0","2.37","382","69","26","25","5","32","1","3","113",".199",".277",".276",".253","512"
"George Kontos","Giants","29.2","2.43","120","25","10","8","0","8","1","1","23",".225",".286",".308",".261","9486"
"Donovan Hand","Brewers","37.0","2.43","148","33","11","10","4","9","0","2","17",".241",".299",".379",".297","8728"
"Kyle Farnsworth","Pirates","3.2","2.45","15","3","1","1","1","2","0","0","3",".231",".333",".462",".350","278"
"Arquimedes Caminero","Marlins","7.1","2.45","29","6","2","2","0","1","0","1","7",".222",".276",".222",".232","8992"
"Steve Cishek","Marlins","39.1","2.52","155","32","12","11","2","8","3","1","35",".219",".270",".312",".250","6483"
"Tyler Clippard","Nationals","35.2","2.52","139","19","10","10","5","14","0","1","33",".153",".246",".293",".247","5640"
"Adam Wainwright","Cardinals","121.0","2.53","463","94","36","34","7","20","1","2","114",".213",".254",".314",".252","2233"
"Javier Lopez","Giants","21.1","2.53","89","17","8","6","1","6","4","0","22",".205",".267",".316",".239","1663"
"Scott Feldman","Cubs","39.0","2.54","156","32","15","11","3","6","0","2","33",".216",".261",".299",".251","6283"
"Chad Qualls","Marlins","31.2","2.56","131","30","9","9","1","9","2","0","28",".246",".300",".331",".276","2170"
"Rafael Betancourt","Rockies","14.0","2.57","61","13","6","4","1","6","1","0","16",".236",".317",".315",".281","177"
"Zach Miner","Phillies","14.0","2.57","59","11","4","4","1","7","0","1","10",".216",".328",".300",".292","3193"
"Huston Street","Padres","38.0","2.61","148","33","11","11","9","7","0","0","33",".234",".270",".468",".320","8258"
"Jordan Zimmermann","Nationals","120.2","2.61","482","100","38","35","8","25","0","2","89",".220",".264",".335",".265","4505"
"Brandon Cumpton","Pirates","20.2","2.61","86","19","6","6","0","3","0","1","16",".232",".274",".266",".243","11366"
"Ryan Webb","Marlins","37.1","2.65","151","33","13","11","1","10","1","0","25",".234",".297",".394",".296","7474"
"Carlos Torres","Mets","47.1","2.66","187","35","14","14","9","9","1","3","44",".200",".253",".393",".281","7624"
"Bryan Morris","Pirates","33.2","2.67","136","25","10","10","2","15","2","1","17",".208",".301",".310",".270","10234"
"Jonathan Pettibone","Phillies","53.2","2.68","223","51","18","16","4","17","2","2","35",".250",".320",".377",".306","7106"
"Jim Henderson","Brewers","30.0","2.70","127","25","9","9","3","13","1","2","42",".223",".315",".339",".294","6653"
"Sean Marshall","Reds","3.1","2.70","11","1","1","1","0","0","0","1","2",".100",".182",".100",".146","5905"
"Jon Niese","Mets","86.2","2.70","361","83","33","26","6","28","1","2","61",".251",".316",".354",".299","4424"
"Dillon Gee","Mets","95.0","2.75","392","89","29","29","8","27","0","5","66",".247",".313",".372",".305","7396"
"Seth Maness","Cardinals","32.2","2.76","130","36","10","10","2","4","2","0","19",".286",".313",".387",".302","12235"
"Jorge de la Rosa","Rockies","81.2","2.76","343","87","25","25","3","23","1","2","56",".274",".331",".363",".309","2047"
"Mat Latos","Reds","94.1","2.77","388","78","31","29","8","28","3","4","84",".219",".288",".348",".280","3815"
"Bobby Parnell","Mets","26.0","2.77","104","21","12","8","1","6","2","0","21",".214",".265",".316",".249","9926"
"Sergio Romo","Giants","35.2","2.78","142","28","13","11","4","8","2","0","34",".209",".254",".361",".263","9817"
"Dale Thayer","Padres","35.1","2.80","139","30","11","11","4","6","1","1","36",".227",".270",".357",".273","5032"
"Lance Lynn","Cardinals","102.0","2.82","414","86","33","32","3","34","0","7","99",".231",".311",".331",".288","2520"
"Tim Hudson","Braves","57.1","2.83","230","44","20","18","3","17","0","1","45",".208",".272",".287",".254","921"
"Charlie Morton","Pirates","53.2","2.85","223","49","21","17","2","14","0","7","41",".243",".321",".311",".289","4676"
