Braves	Tyler Pastornicky	International Love	Pitbull	Pop	https://itunes.apple.com/us/album/international-love-feat.-chris/id440733026?i=440733046&uo=4&at=10l3Hj&ct=mobile_music
Braves	 Justin Upton	Get Right	Young Jeezy		
Braves	 Anthony Varvaro	Headlines	Drake	Hip-Hop/Rap	https://itunes.apple.com/us/album/headlines/id479756751?i=479756764&uo=4&at=10l3Hj&ct=mobile_music
Brewers	 Yuniesky Betancourt	No Hay Pa Nadie	Los Desiguales	Hip-Hop/Rap	https://itunes.apple.com/us/album/good-vibrations-feat.-loleatta/id406211898?i=406211905&uo=4&at=10l3Hj&ct=mobile_music
Brewers	 Hiram Burgos	Muevete	Wisin & Yandel	Reggaeton y Hip-Hop	https://itunes.apple.com/us/album/muevete/id414729996?i=414730002&uo=4&at=10l3Hj&ct=mobile_music
Brewers	Burke Badenhop	Stranglehold	Ted Nugent	Rock	https://itunes.apple.com/us/album/stranglehold/id197914607?i=197914626&uo=4&at=10l3Hj&ct=mobile_music
Brewers	Carlos Gomez	Started from the Bottom	Drake		https://itunes.apple.com/us/album/started-from-the-bottom/id600729789?i=600729798&uo=4&at=10l3Hj&ct=mobile_music
Brewers	 Khris Davis	Gangsta Rap Made Me Do It	Ice Cube	Pop	https://itunes.apple.com/us/album/gangsta-rap-made-me-do-it/id384644779?i=384644801&uo=4&at=10l3Hj&ct=mobile_music
Brewers	 Marco Estrada	Sail	AWOLNATION	Alternative	https://itunes.apple.com/us/album/sail/id422478077?i=422478211&uo=4&at=10l3Hj&ct=mobile_music
Brewers	 Alfredo Figaro	Work Hard Play Hard	Wiz Khalifa	Hip-Hop/Rap	https://itunes.apple.com/us/album/work-hard-play-hard/id562648487?i=562648498&uo=4&at=10l3Hj&ct=mobile_music
Brewers	 Juan Francisco	Me Gusta Asi	Nipo	Reggaeton y Hip-Hop	https://itunes.apple.com/us/album/me-gusta-electro-remix/id479329704?i=479329776&uo=4&at=10l3Hj&ct=mobile_music
Brewers	 Juan Francisco	Naaku Mukka	Vijay Antony & Nakul & Sunaina & Chinnaponnu	Indian	https://itunes.apple.com/us/album/naakka-mukka-from-kadhalil/id662656525?i=662656885&uo=4&at=10l3Hj&ct=mobile_music
Brewers	 Juan Francisco	No Aguantan Presionpa	Secreto El Famoso	Hip-Hop/Rap	https://itunes.apple.com/us/album/no-aguantan-presionpa/id622903470?i=622903478&uo=4&at=10l3Hj&ct=mobile_music
Brewers	 Juan Francisco	Ponte El Chaleco	Secreto El Famoso	Hip-Hop/Rap	https://itunes.apple.com/us/album/ponte-el-chaleco/id622903470?i=622903471&uo=4&at=10l3Hj&ct=mobile_music
Brewers	 Scooter Gennett	Courage to Grow	Rebelution	Reggae	https://itunes.apple.com/us/album/courage-to-grow/id258293803?i=258293806&uo=4&at=10l3Hj&ct=mobile_music
Brewers	 Caleb Gindl	The Show Goes On	Lupe Fiasco	Hip-Hop/Rap	https://itunes.apple.com/us/album/the-show-goes-on/id418674062?i=418674083&uo=4&at=10l3Hj&ct=mobile_music
Brewers	 Carlos Gomez	No naci para perder	Jose Reyes	Hip-Hop/Rap	https://itunes.apple.com/us/album/im-different/id549921250?i=549921257&uo=4&at=10l3Hj&ct=mobile_music
Brewers	 Donovan Hand	Sweet Home Alabama	Lynyrd Skynyrd	Rock	https://itunes.apple.com/us/album/sweet-home-alabama/id3436864?i=3436842&uo=4&at=10l3Hj&ct=mobile_music
Brewers	 Donovan Hand	Theme from Superman	Music from the Motion Picture	Soundtrack	https://itunes.apple.com/us/album/theme-from-superman/id610243037?i=610243897&uo=4&at=10l3Hj&ct=mobile_music
Brewers	Jean Segura	En Cualto Eh Que Tamo	Chimbala	Reggaeton y Hip-Hop	https://itunes.apple.com/us/album/en-cualto-eh-que-tamo/id549200696?i=549201213&uo=4&at=10l3Hj&ct=mobile_music
Brewers	Jeff Bianchi	Tonight	Jeremy Camp	Christian & Gospel	https://itunes.apple.com/us/album/i-still-believe/id504060239?i=504060243&uo=4&at=10l3Hj&ct=mobile_music
Brewers	Jonathan Lucroy	Fight Inside	Red	Rock	https://itunes.apple.com/us/album/fight-inside/id327414153?i=327414175&uo=4&at=10l3Hj&ct=mobile_music
Brewers	Logan Schafer	Return of the Mack	Mark Morrison		https://itunes.apple.com/us/album/return-of-the-mack/id474027867?i=474028286&uo=4&at=10l3Hj&ct=mobile_music
Brewers	 Kyle Lohse	Next Episode	Dr. Dre	Hip-Hop/Rap	https://itunes.apple.com/us/album/the-next-episode/id273181564?i=273181632&uo=4&at=10l3Hj&ct=mobile_music
Brewers	Marco Estrada	Bodies	Drowning Pool	Rock	https://itunes.apple.com/us/album/bodies/id308333327?i=308333341&uo=4&at=10l3Hj&ct=mobile_music
Brewers	Martin Maldonado	El Duro	Don Omar	Reggaeton y Hip-Hop	https://itunes.apple.com/us/album/el-duro-feat.-kendo-kapponi/id402727180?i=402727182&uo=4&at=10l3Hj&ct=mobile_music
Brewers	Michael Gonzalez	Cracks	Belle Humble	Dance	https://itunes.apple.com/us/album/cracks-feat.-belle-humble/id389401661?i=389401876&uo=4&at=10l3Hj&ct=mobile_music
Brewers	Mike Fiers	Bulls On Parade	Rage Against the Machine	Alternative	https://itunes.apple.com/us/album/bulls-on-parade/id390538381?i=390538384&uo=4&at=10l3Hj&ct=mobile_music
